poem_name, poem_content ,poet_name ,category
To Nature ,It may indeed be fantasy when I|Essay to draw from all created things|Deep| heartfelt| inward joy that closely clings;|And trace in leaves and flowers that round me lie|Lessons of love and earnest piety.|So let it be; and if the wide world rings|In mock of this belief| it brings|Nor fear| nor grief| nor vain perplexity.|So will I build my altar in the fields||And the blue sky my fretted dome shall be||And the sweet fragrance that the wild flower yields|Shall be the incense I will yield to Thee||Thee only God! and thou shalt not despise|Even me| the priest of this poor sacrifice.,Coleridge Taylor,nature
Universal Motion    (Nature Nature Nature) ,Around the hub| the galaxies turn|Pinwheels scrubbed| in magnetic urn|Gravity attracts| while motion glides|Equal force acts| to sustain the rides|The Milky Way| is towed along|Its center conveyed| by nature's song|The flux lines strum| as they pass by|A radio hum| an electrical sigh|And so it be| with our own sun|By magnetic sea| its field is spun|The axial spin| then thus does tow|It's satellites in an induction row|The best conductors turn fairly fast|While the resistors last with the past|Lines of force roll round the outside|Because the course is too dense inside|When the field of the planet is low|It tends to yield all turning flow|If more than one set of poles it has|It will turn yet| but less as lines pass|< br>|nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature,Yah) to,nature
Nature The Gentlest Mother Is ,Nature the gentlest mother is||Impatient of no child||The feeblest of the waywardest.|Her admonition mild|In forest and the hill|By traveller be heard||Restraining rampant squirrel|Or too impetuous bird.|How fair her conversation|A summer afternoon||Her household her assembly;|And when the sun go down||Her voice among the aisles|Incite the timid prayer|Of the minutest cricket||The most unworthy flower.|When all the children sleep||She turns as long away|As will suffice tolight her lamps||Then bending from the sky|With infinite affection|An infiniter care||Her golden finger on her lip||Wills silence everywhere.,Dickinson Emily,nature
Mother Nature ,Often I marvel at Mother Nature|And its unique adventures|It has in stock for us|I have to say Mother Nature is the boss|Everyone has DNA-like life experience|Sometimes it can be monotonously intense|But Mother Nature is supreme|And Mother Nature is extreme|Often I ponder on why Mother Nature|Is sporadically insane with jealousy|Committing many a time unspeakable atrocities|Tornados| earthquakes and volcanic eruptions|It showers| making its necessary modifications|Tidal waves are its trademark of destruction|Of natural and artificial creations|But Mother Nature always makes up|With multiplication and replication of the living!,Chidi Sylvia,nature
A Touch Of Nature ,When first the crocus thrusts its point of gold|Up through the still snow-drifted garden mould||And folded green things in dim woods unclose|Their crinkled spears| a sudden tremor goes|Into my veins and makes me kith and kin|To every wild-born thing that thrills and blows.|Sitting beside this crumbling sea-coal fire||Here in the city's ceaseless roar and din||Far from the brambly paths I used to know||Far from the rustling brooks that slip and shine|Where the Neponset alders take their glow||I share the tremulous sense of bud and briar|And inarticulate ardors of the vine.,Aldrich Bailey,nature
What Being In Rank,What being in rank-old nature should earlier have that breath been|That hére pérsonal tells off these heart-song powerful peals?—|A bush-browed| beetle-brówed bíllow is it?|With a soúth-wésterly wínd blústering| with a tide rolls reels|Of crumbling| fore-foundering| thundering all-surfy seas in; seen|Únderneath| their glassy barrel| of a fairy green.|. . . . . . . .|Or a jaunting vaunting vaulting assaulting trumpet telling,Hopkins Manley,nature
(034)  Nature ,Look at my hair|Dancing in the air|Look at the trees|Bowing with the breeze|Look at the flowers|Dancing in the showers|Look all and all around|Up in the sky and down on the ground.,yrs) (12,nature
Of Man By Nature ,From God he's a backslider||Of ways he loves the wider;|With wickedness a sider||More venom than a spider.|In sin he's a considerer||A make-bate and divider;|Blind reason is his guider||The devil is his rider.,Bunyan John,nature
Nature| The Gentlest Mother| ,Nature| the gentlest mother||Impatient of no child||The feeblest or the waywardest||Her admonition mild|In forest and the hill|By traveller is heard||Restraining rampant squirrel|Or too impetuous bird.|How fair her conversation||A summer afternoon|--|Her household| her assembly;|And when the sun goes down|Her voice among the aisles|Incites the timid prayer|Of the minutest cricket||The most unworthy flower.|When all the children sleep|She turns as long away|As will suffice to light her lamps;|Then| bending from the sky|With infinite affection|And infiniter care||Her golden finger on her lip||Wills silence everywhere.,Dickinson Emily,nature
A Cynical Nature ,The sun smiles||forcefully examining the bitterness of the leaves|that have become|crushed under the weight|of the eve’s rainfall.|I look on||curiously wondering|why the sun seems to give light||to even the most shattering|displays of nature’s fury.|I am broken| I think.|The sun has never fixed me.|Outside the drops of rain evaporate steadily.|Dew| which once subsided in even the most porous|of surfaces|has all but disappeared||confronted  instead|by a warmth as steady|as the sun is iridescent.|You are an observer| I say.|Callous| cold| and unfeeling.|On the ground two squirrels fight playfully.|An acorn has fallen between the two||and with quizzical wonderment|I watch as a|stalled fury erupts|into a courtship like dance|of dominator|versus|domineered.|Atleast they have each other| I muse.|Who do you have?|The last remnants of darkness have lifted|and the birds respond with a steady hum.|In their song I hear them say||serenity| serenity:|this is the world.|I turn my head||And dropp my gaze|downward.|Serenity| serenity||Is not the world’s way.|The sun rises fully||I sit on the ground.|Copyright (c)      David DeSantis,DeSantis David,nature
Sonnet: Don’t Blame Nature ,Why challenge Mother Nature| man| in vain?|Accept her superiority and pow’r;|One can’t traverse with equal speed each lane;|Take blame for every flood| wind| drought and show’r!|When hot| the excess steam must be let off;|When cold| one needs to cover to gain heat;|When Nature’s in a furious mood| don’t scoff;|Find solutions better and don’t retreat.|When Nature sends a breeze| man loves her touch;|When Nature blows a wind fierce| men rant| rave;|Yet| Nature balances her acts so much;|From natural disasters| man ought to save.|Align with Nature: Love the way she works;|But cursing God brings man more Nature’s jerks!|Dr John Celes 9-6-2005,M.D., Manohar,nature
Nature Is What We See— ,"Nature" is what we see—|The Hill—the Afternoon—|Squirrel—Eclipse—the Bumble bee—|Nay—Nature is Heaven—|Nature is what we hear—|The Bobolink—the Sea—|Thunder—the Cricket—|Nay—Nature is Harmony—|Nature is what we know—|Yet have no art to say—|So impotent Our Wisdom is|To her Simplicity.,Dickinson Emily,nature
The Worship Of Nature ,The harp at Nature's advent strung|Has never ceased to play;|The song the stars of morning sung|Has never died away.|And prayer is made| and praise is given||By all things near and far;|The ocean looketh up to heaven||And mirrors every star.|Its waves are kneeling on the strand||As kneels the human knee||Their white locks bowing to the sand||The priesthood of the sea!|They pour their glittering treasures forth||Their gifts of pearl they bring||And all the listening hills of earth|Take up the song they sing.|The green earth sends its incense up|From many a mountain shrine;|From folded leaf and dewy cup|She pours her sacred wine.|The mists above the morning rills|Rise white as wings of prayer;|The altar-curtains of the hills|Are sunset's purple air.|The winds with hymns of praise are loud||Or low with sobs of pain| --|The thunder-organ of the cloud||The dropping tears of rain.|With drooping head and branches crossed|The twilight forest grieves||Or speaks with tongues of Pentecost|From all its sunlit leaves.|The blue sky is the temple's arch||Its transept earth and air||The music of its starry march|The chorus of a prayer.|So Nature keeps the reverent frame|With which her years began||And all her signs and voices shame|The prayerless heart of man.,Whittier Greenleaf,nature
Flare Baby Flare  (Nature Nature Nature Nature Nature) ,The age dawns| the weather fair|Nature warms| without a care|To the North| the winter's cold|A storm rages| from what I'm told|Faraway| the surface flares|Intense heat| with increased glare|A time lag| from there to here|Waves arrive| earth's atmosphere|To the North| electrons barged|Dance the sky| crystallites charged|Waves of light| to those aware|Color night| beyond compare|Warming trends| begin right there|Increased waves| excite the air|Molecules in microwaves|Together rub| and so behave|It's the same with solar flares|Greenhouse effect| but with God's care|< br>|nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun   sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun sun,Yah) to,nature
Supernova (A Star Is Born)        (Nature Nature Nature Nature Nature Nature Nature) ,The Great Red Giant could no longer bear|The forces of fission held within its care|Collected fuels over such a great time|A load too heavy| and fusion too prime|So far beneath its plasmatic sea|The forces of mass built up by three|The critical forces accumulated too fast|And multiple fissions started to blast|The uncontrolled sum of the reactions compactions|Finally overcame their gravitational attraction|And then burst forth in a great cosmic cry|And gave birth to a new baby's sigh|< br>|nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature nature life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life life,Yah) to,nature
Art Above Nature:  To Julia ,When I behold a forest spread|With silken trees upon thy head;|And when I see that other dress|Of flowers set in comeliness;|When I behold another grace|In the ascent of curious lace||Which| like a pinnacle| doth shew|The top| and the top-gallant too;|Then| when I see thy tresses bound|Into an oval| square| or round||And knit in knots far more than I.|Can tell by tongue| or True-love tie;|Next| when those lawny films I see|Play with a wild civility;|And all those airy silks to flow||Alluring me| and tempting so--|I must confess| mine eye and heart|Dotes less on nature than on art.,Herrick Robert,nature
Nature ,The bubbling brook doth leap when I come by||Because my feet find measure with its call;|The birds know when the friend they love is nigh||For I am known to them| both great and small.|The flower that on the lonely hillside grows|Expects me there when spring its bloom has given;|And many a tree and bush my wanderings knows||And e'en the clouds and silent stars of heaven;|For he who with his Maker walks aright||Shall be their lord as Adam was before;|His ear shall catch each sound with new delight||Each object wear the dress that then it wore;|And he| as when erect in soul he stood||Hear from his Father's lips that all is good,Very Jones,nature
' All Nature Praises God' ,Captured in the Psalms are the most eloquent Praises|And to read and ponder them affords one great graces.|The Lord's is the earth| and the sea| and the sky;|His is the moon| stars| sun and clouds rolling by.|His Seasons glorify Him each in their own way.|Think of the hope in the beauty of a Spring day||Thunderclaps and lightning of Summer at play||Fall's russets| browns| and yellows in breezes sway||And Winter's cold| chill| and ice| with snows that lay.|Ponder the land with rocks| hills and mountains||Rivers| streams| and geysers spewing like fountains.|Consider the lilies| roses| shrubs and trees|Which cause one to thank God on bended knees.|Think about the creatures on the land and in the sea|And Praise God for everyone that has come to be.|Praise the Lord morning| noon and night|Sing out His Praises with all of our might.|Keep a book of prayers within easy reach;|Devour everything it is meant to teach.|~ Let's remember ~|captured in the Psalms are the most eloquent Praises;|To read and ponder them affords one great graces||For the Word of God throughout all ages|Is contained in our Bibles' well-worn pages.,Patterson Carmela,nature
The Sounds Of Nature ,The Sounds Of Nature|O| tis so sweet.|Who am I|That would dare try to repeat|The lovliness of a tweet.|The flutter of its wings|The tiny cute prints|Of a little birds feet.|The Sounds of Nature|O| how beautiful yet afar.|Are raindrops against the windshield|Of a still parked car.|Each little drip dropp runs|Caressing the mind so intensely|Seemingly just to play a part|Or perhaps for the fun of it.|O| The Sounds Of Nature|Sometimes deeply doth groan.|When by an unwillingly nature|One's heart decides to roam.|How lovely is a weep|Who does understand the moan.|When its all part of nature|But who wants to be left alone.,Weir Cecelia,nature
Nature Rarer Uses Yellow ,Nature rarer uses yellow|Than another hue;|Saves she all of that for sunsets|--|Prodigal of blue||Spending scarlet like a woman||Yellow she affords|Only scantly and selectly||Like a lover's words.,Dickinson Emily,nature
Beauty In Nature ,Theres a poem in every flower||a sonnet in every tree||a tale in every lifetime|its just for you to see...|theres a lyric in every brook|as it rushes over rocks||theres  an ode in every nuance||as loves wonder unlocks||theres rhythm in every sound||every beating of a heart||theres poetry in every union|and every couple who are apart|and just as there is wonder|in every new life created|there is sadness and regret||for the unsaid and unfeted|just listen for the music|that your ears cannot hear||just strain yourself for the melody|thats so far and yet so near|the wonder of the creator||the magic of the divine|is there to feel| for all of us||to soon be yours and mine,Chopra Arti,nature
The Circle Of Nature ,All| thou gentle one| lies embraced in thy kingdom; the graybeard|Back to the days of his youth| childish and child-like| returns.,Schiller Friedrich,nature
Click Here To Listen To The Beauty Of Nature The Beauty Of Nature ,The falling of snowflakes coming down|Making a blanket of white on the ground.|Autumn with red and gold-leaves||Falling to the ground| in a cool breeze.|The rising of the sun of crimson||A buzzing of the Bees||As they go on their mission.|A cool-breese blowing in the trees.|The beautiful- flowers of red| yellow| and blue.|The sparkling of grass| with morning-dew.|The sea is beautiful| with Blue-sky above.|The flying of sea-gulls and of doves.|The birds singing up in the trees||As a gentle-wind blows the green-leaves.|Beautiful-butterflies going their way.|The beauty of nature| really make my day!,Bullard Winifred,nature
0420 Trust Nature ,It's said that every species in the world|displays one gift beyond the scope of Man.|How dangerous the skies - for men| and birds -|how soiled the air| if wings were in Man's span!|Suppose that every species made extinct|by Man| the guardian of all things that live||deprived us (as indeed it may..)   by dint|of mindlessness| of something God's mind gives?|I watch the spider| humble in my praise:|self-spinning tightrope walker; engineer;|the knower of all Nature's weathered ways|and bold explorer on the winds that veer:|Nature spares the spider Man's wild mind;|should mind in Nature rest| there's more to find.,Shepherd Michael,nature
(81)   Nature Boy ,A busker on a unicycle|Dances with the birds|As teaming hordes of grey brained apes|Wend their way to work|He juggles socks to their delight|N couldn’t give a rats|If the price of oil is up or down|Or the wheat board has collapsed|And every now and then|I feel I’d like to be that fool|To bare my soul to nature|While the pigeons burble “cool”,Dennis S,nature
The Return To Nature. ,(I) PROMETHEUS 1-|IT was the south : mid-everything||-|Mid-land| mid-summer| noon ;|-|And deep within a limpid spring|-|The mirrored sun of June.|-|Splendour in freshness ! Ah| who stole|-|This sun| this fire| from heaven?|-|He holds it shining in his soul||-|Prometheus the forgiven.|(II) THETIS2-|In her bright title poets dare|-|What the wild eye of fancy sees --|-|Similitude -- the clear| the fair|-|Light mystery of images.|-|Round the blue sea I love the best|-|The argent foam played| slender| fleet ;|-|I saw -- past Wordsworth and the rest --|-|Her natural| Greek| and silver feet.,Meynell Alice,nature
The Nature Of Things ,How many times we say or do|Something that we thought was true|And then it made us sad;|A hurtful word| a shameful look|I've done enough to write a book -|I doubt that it would sell;|We stumble on in ignorance|Until in time we find by chance|The answers that we seek||For there are lessons to be learned|All thoughtless deeds will be returned -|It's one of nature's laws;|That's how we grow in mind and soul||Each incarnation sets the goal.............|It's the nature of things.,Ori Linda,nature
My Gift From Mother Nature On Mothers Day ,She knew|all I was hoping for|was a little time with you all.|She knew|if the day was bright and sunny|he would be out riding his bike|and the girls would be busy soaking up the sun.|You would inevitably have work to do|whether it was changing the spark plugs|on one of our half-dead vehicles|or mending the fence|to keep our squirrel-crazy bassett hound from escaping.|She knew|I would probably plant flowers by myself.|I love planting flowers|but| I can do that anyday.|Today I wanted to spend with those|who have made me a mother.|She knew|if she dropped the temperature|down into the 40's|you would all surely|seek the warmth of the house.|She knew|that a light drizzle|of ice-cold rain|would ensure your company|throughout the day.|As I curl up on the couch|with all of you surrounding me|and I listen to the predictable bickering|over the popcorn bowl||I silently thank her|for giving me the gift I wanted most|for Mothers Day.|My family.|I'm glad she knows me so well.|Thank you Mother Nature.|Happy Mothers Day!,Nagy Mary,nature
(d)  5 (Nature)  The Wind Is Trying To Tell Me Something ,The wind is trying to tell me something|Just softly murmuring and whispering|Gently touching my skin and  making me tingle|Breathe in the freshness and let it mingle|Take in the new earth after its been drenched of rain|Ease your minds out of the painful past and all the pain|Sing with the wind resurfacing the music that slowly died|Feel the vibrations of nature's love and not your hurt pride|Sway with the new crop out there in the fields|And not the dagger of your anger that it wields|The rose has wilted but a new bud has arisen|Release the past and let it out from your prison|Life is transient and you may not be able to capture love|But beauty is constant and it will always keep you above,Ocean Tranquil,nature
Let Us Go Gentle With The Nature ,Let us go gentle with the nature|It has given us many|Blessings to be proud of|Learn your Botany| Anatomy||Geography| Astronomy| etc…|Before it is too late|Regardless of what the nature|Is giving us|A non-wise person will always|Fail to see the good side of it|He or She will only see curse|But let the rest of us go gentle with the nature…|www.frederickyamusangie.or g.uk,Yamusangie Kambemba,nature
